optimized_sn,previous_optimized_sn,sn,name,type,priority,complexity,quality_score,quality_tier,curation_status,scene,biz_line,risk_mechanism,assigned_agents,library_source,source_title,topic,source_file,audit_goal,data_dependencies,output_type,duplicate_merged_count,related_candidates
OPTDATA-0001,OPTDATA-0001,SOEV6D-001,内部审计工作法-2.6责任观：遇到问题找方法，而不是刻意只去查后果／22检测算法,算法候选,P0,L3,99,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 绩效评价,通用/全场景通用,异常性,data_scout / workpaper_crafter,ocr_55_books_deep,内部审计工作法,2.6责任观：遇到问题找方法，而不是刻意只去查后果／22,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md,基于《内部审计工作法》中“2.6责任观：遇到问题找方法，而不是刻意只去查后果／22”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,2.6责任观：遇到问题找方法，而不是刻意只去查后果／22疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTDATA-0002,OPTDATA-0002,PERFV6D-078,高级审计技术方法-征兆发现审计技术，吕君杰；第九章探索性审计数据分析，陈伟检测算法,算法候选,P0,L3,99,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 绩效评价,通用/全场景通用,绩效偏离,data_scout / workpaper_crafter,ocr_55_books_deep,高级审计技术方法,征兆发现审计技术，吕君杰；第九章探索性审计数据分析，陈伟,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md,基于《高级审计技术方法》中“征兆发现审计技术，吕君杰；第九章探索性审计数据分析，陈伟”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；采购公告；投标文件,征兆发现审计技术，吕君杰；第九章探索性审计数据分析，陈伟疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTDATA-0003,OPTDATA-0003,SOEV6D-008,审计专题教学案例精选-银河科技：审计独立性问题分析检测算法,算法候选,P0,L3,96,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 绩效评价,通用/全场景通用,异常性,data_scout / workpaper_crafter,ocr_55_books_deep,审计专题教学案例精选,银河科技：审计独立性问题分析,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md,基于《审计专题教学案例精选》中“银河科技：审计独立性问题分析”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,银河科技：审计独立性问题分析疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTDATA-0004,OPTDATA-0005,SOEV6D-004,内部审计工作法-1.7内部审计是大数据时代的宠儿／12检测算法,算法候选,P1,L3,89,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 预算执行与财政管理,通用/全场景通用,异常性,data_scout / workpaper_crafter,ocr_55_books_deep,内部审计工作法,1.7内部审计是大数据时代的宠儿／12,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md,基于《内部审计工作法》中“1.7内部审计是大数据时代的宠儿／12”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,1.7内部审计是大数据时代的宠儿／12疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTDATA-0005,OPTDATA-0006,PERFV6D-051,内部审计思维与沟通-1内部审计人员思维能力自我评价检测算法,算法候选,P1,L3,89,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 预算执行与财政管理,通用/全场景通用,绩效偏离,data_scout / workpaper_crafter,ocr_55_books_deep,内部审计思维与沟通,1内部审计人员思维能力自我评价,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计思维与沟通.pdf.md,基于《内部审计思维与沟通》中“1内部审计人员思维能力自我评价”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷,1内部审计人员思维能力自我评价疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTDATA-0006,OPTDATA-0007,ECONV6D-042,基层审计业务操作规程-审计案例规则化检测算法,算法候选,P1,L3,89,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 绩效评价,通用/全场景通用,异常性,data_scout / workpaper_crafter,ocr_55_books_deep,基层审计业务操作规程,审计案例规则化,E:\2026\审计方法&政策文件\_ocr_output\通用\基层审计业务操作规程.pdf.md,基于《基层审计业务操作规程》中“审计案例规则化”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；会议纪要；三重一大事项,审计案例规则化疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTDATA-0007,OPTDATA-0009,SUPVV6D-022,政府审计学-政策措施落实情况审计的主要方法检测算法,算法候选,P1,L3,89,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 绩效评价,通用/全场景通用,异常性,data_scout / workpaper_crafter,ocr_55_books_deep,政府审计学,政策措施落实情况审计的主要方法,E:\2026\审计方法&政策文件\_ocr_output\通用\政府审计学.pdf.md,基于《政府审计学》中“政策措施落实情况审计的主要方法”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,政策措施落实情况审计的主要方法疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTDATA-0008,OPTDATA-0010,PERFV6D-081,高级审计技术方法-高级审计技术方法概论，王会金；第二章哲学对审计方法的指导检测算法,算法候选,P1,L3,89,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 绩效评价,通用/全场景通用,绩效偏离,data_scout / workpaper_crafter,ocr_55_books_deep,高级审计技术方法,高级审计技术方法概论，王会金；第二章哲学对审计方法的指导,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md,基于《高级审计技术方法》中“高级审计技术方法概论，王会金；第二章哲学对审计方法的指导”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；采购公告；投标文件,高级审计技术方法概论，王会金；第二章哲学对审计方法的指导疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTDATA-0009,OPTDATA-0011,SOEV6D-011,审计专题教学案例精选-审计专题教学案例精选.pdf检测算法,算法候选,P1,L3,86,A,算法候选-严格保留,全场景通用 / 监督检查与经费舞弊 / 绩效评价,通用/全场景通用,异常性,data_scout / workpaper_crafter,ocr_55_books_deep,审计专题教学案例精选,审计专题教学案例精选.pdf,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md,基于《审计专题教学案例精选》中“审计专题教学案例精选.pdf”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,审计专题教学案例精选.pdf疑点清单、风险等级、命中规则、涉及金额、核查建议,,
OPTAGR-0001,OPTAGR-0001,MAGAGR-0009,002中国式现代化引领财政现代化的历史脉络与展望案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,002中国式现代化引领财政现代化的历史脉络与展望,002中国式现代化引领财政现代化的历史脉络与展望,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\002中国式现代化引领财政现代化的历史脉络与展望.md,基于杂志案例《002中国式现代化引领财政现代化的历史脉络与展望》提炼“002中国式现代化引领财政现代化的历史脉络与展望”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,002中国式现代化引领财政现代化的历史脉络与展望疑点清单、命中规则、风险等级、证据链、核查建议,,
