sn,name,type,package_kind,priority,complexity,scene,biz_line,risk_mechanism,assigned_agents,source_kind,source_top,source_title,topic,merge_action,audit_goal,data_dependencies,output_type,source_file
ENGV6D-001,工程总承包政策精要-推行工程总承包和工程项目管理的重要性和必要性检测算法,算法候选,algorithm,P0,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程总承包政策精要,推行工程总承包和工程项目管理的重要性和必要性,新增,基于《工程总承包政策精要》中“推行工程总承包和工程项目管理的重要性和必要性”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；工程量清单；结算书；签证变更；竣工资料；采购公告,推行工程总承包和工程项目管理的重要性和必要性疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md
ENGV6D-002,工程总承包政策精要-EPC政策合规规则包,规则包,rule_pack,P1,L2,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,合规性,settlement_auditor / budget_estimator,book,工程,工程总承包政策精要,EPC政策合规,新增,基于《工程总承包政策精要》中“EPC政策合规”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；工程量清单；结算书；签证变更；竣工资料；采购公告,EPC政策合规规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md
ENGV6D-003,工程总承包政策精要-工程造价异常指标包,指标包,indicator_pack,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程总承包政策精要,工程造价异常,新增,基于《工程总承包政策精要》中“工程造价异常”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；工程量清单；结算书；签证变更；竣工资料；采购公告,工程造价异常指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md
ENGV6D-004,工程总承包政策精要-工程量真实性检测算法,算法候选,algorithm,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程总承包政策精要,工程量真实性,新增,基于《工程总承包政策精要》中“工程量真实性”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；工程量清单；结算书；签证变更；竣工资料；采购公告,工程量真实性疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md
ENGV6D-005,工程总承包政策精要-签证变更异常内控核查包,内控包,control_pack,P1,L2,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,合规性,settlement_auditor / budget_estimator,book,工程,工程总承包政策精要,签证变更异常,新增,基于《工程总承包政策精要》中“签证变更异常”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；工程量清单；结算书；签证变更；竣工资料；采购公告,签证变更异常控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md
ENGV6D-006,工程总承包政策精要-竣工决算费用归集规则包,规则包,rule_pack,P1,L2,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,合规性,settlement_auditor / budget_estimator,book,工程,工程总承包政策精要,竣工决算费用归集,新增,基于《工程总承包政策精要》中“竣工决算费用归集”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；工程量清单；结算书；签证变更；竣工资料；采购公告,竣工决算费用归集规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md
ENGV6D-007,工程总承包政策精要-分包采购联动指标包,指标包,indicator_pack,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程总承包政策精要,分包采购联动,新增,基于《工程总承包政策精要》中“分包采购联动”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；工程量清单；结算书；签证变更；竣工资料；采购公告,分包采购联动指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md
ENGV6D-008,工程总承包政策精要-隐蔽工程检测证据链包,证据包,evidence_pack,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程总承包政策精要,隐蔽工程检测,新增,基于《工程总承包政策精要》中“隐蔽工程检测”相关内容，贯通审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；工程量清单；结算书；签证变更；竣工资料；采购公告,隐蔽工程检测证据链节点、证据缺口、访谈对象、底稿索引、结论边界,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md
ENGV6D-009,工程项目利润创造与造价风险控制-工程项目利润创造与造价风险控制.pdf检测算法,算法候选,algorithm,P0,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,工程项目利润创造与造价风险控制.pdf,新增,基于《工程项目利润创造与造价风险控制》中“工程项目利润创造与造价风险控制.pdf”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,工程项目利润创造与造价风险控制.pdf疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ENGV6D-010,工程项目利润创造与造价风险控制-6商务管理上的风险规则包,规则包,rule_pack,P1,L2,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,合规性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,6商务管理上的风险,新增,基于《工程项目利润创造与造价风险控制》中“6商务管理上的风险”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,6商务管理上的风险规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
