sn,name,type,package_kind,priority,complexity,scene,biz_line,risk_mechanism,assigned_agents,source_folder,source_title,topic,risk_terms,data_terms,method_terms,audit_goal,data_dependencies,output_type,source_file
MAGSUPV-0001,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知内控核查包,杂志内控包,control_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,中国注册会计师,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知,违规；异常；风险；舞弊；虚假；重复；损失；内控；缺陷；真实性；完整性；违法,数据；样本；报表；结算；资产；税收；资金；会计；审计报告；工作底稿,模型；规则；评价；核查；关联；抽样；识别；分析；研究；体系；机制；方法,基于杂志案例《中国注册会计师协会关于做好上市公司2025年年报审计工作的通知》提炼“中国注册会计师协会关于做好上市公司2025年年报审计工作的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\002.中国注册会计师协会关于做好上市公司2025年年报审计工作的通知.md
MAGSUPV-0002,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知内控核查包,杂志内控包,control_pack,P0,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,中国注册会计师,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知,异常；风险；舞弊；重复；损失；缺陷；完整性；错报,数据；预算；样本；报表；资产；会计；审计报告；工作底稿,评价；关联；识别；验证；体系；方法,基于杂志案例《中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知》提炼“中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\002.中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知.md
MAGSUPV-0003,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通内控核查包,杂志内控包,control_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,中国注册会计师,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通知,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通,风险,清单；会计；审计报告,评价；体系；机制；数字化,基于杂志案例《中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通知》提炼“中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\003.中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通知.md
MAGSUPV-0004,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知证据模板包,杂志证据包,evidence_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师/监督检查与经费舞弊,案例证据,review_sentinel / data_scout,中国注册会计师,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知,,会计,体系,基于杂志案例《中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知》提炼“中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知案例标签、风险词、数据词、核查程序、底稿证据索引,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\004.中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知.md
MAGSUPV-0005,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开证据模板包,杂志证据包,evidence_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师/监督检查与经费舞弊,案例证据,review_sentinel / data_scout,中国注册会计师,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开,,会计,,基于杂志案例《中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开》提炼“中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开案例标签、风险词、数据词、核查程序、底稿证据索引,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\012.中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开.md
MAGSUPV-0006,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则内控核查包,杂志内控包,control_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川注册会计师/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,四川注册会计师,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则(试行)》答记者问,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则,风险；内控；错报,会计；工作底稿,识别；分析；研究；体系；机制；方法,基于杂志案例《中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则(试行)》答记者问》提炼“中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.中注协有关负责人就印发《可持续信息鉴证 业务准则第6101号一—基本准则(试行)》 答记者问.md
MAGFIN-0001,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知案例规则包,杂志规则包,rule_pack,P1,L2,金融审计 / 国企审计 / 监督检查与经费舞弊,四川注册会计师/金融审计,合规性,data_scout / contract_hound,四川注册会计师,关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,真实性；完整性,数据；清单；凭证；审批；会计,模型；验证；研究；路径；机制；方法；数字化；大数据,基于杂志案例《关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知》提炼“联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知.md
MAGSUPV-0007,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知内控核查包,杂志内控包,control_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川注册会计师/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,四川注册会计师,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知,违规；舞弊；重复；违法,数据；会计；审计报告,分析；机制,基于杂志案例《四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知》提炼“四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知.md
MAGSUPV-0008,奋力谱写注册会计师行业服务中国式现代化新篇章案例检测算法,杂志案例算法,algorithm,P1,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川注册会计师/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,四川注册会计师,奋力谱写注册会计师行业服务中国式现代化新篇章,奋力谱写注册会计师行业服务中国式现代化新篇章,违规；风险；违法,数据；会计,规则；研究；体系；机制；大数据；人工智能,基于杂志案例《奋力谱写注册会计师行业服务中国式现代化新篇章》提炼“奋力谱写注册会计师行业服务中国式现代化新篇章”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,奋力谱写注册会计师行业服务中国式现代化新篇章疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.奋力谱写注册会计师行业服务中国式现代化新篇章.md
MAGSOC-0001,印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知内控核查包,杂志内控包,control_pack,P1,L2,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,四川注册会计师/民生与社保医保,内控缺陷,data_scout / performance_evaluator,四川注册会计师,关于印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知,印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知,违规；风险；重复；套取；低效；真实性；绩效；预警；违法；隐患；腐败,数据；台账；清单；合同；支付；预算；决算；指标；项目库；审批；采购；招标,规则；指标；评价；关联；预警；分析；审查；研究；体系；机制；方法,基于杂志案例《关于印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知》提炼“印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\002.关于印发《关于进一步加强科学事业单位 内部控制建设的指导意见》的通知.md
