case_id,package_sn,title,quality_score,quality_tier,linked_package_count,library_source,source_folder,source_top,source_file,scene,case_type,risk_terms,data_terms,method_terms,evidence_chain,summary
MAGISSUE-0436,,中国内部审计2025年11期,40,D,0,magazine_435_articles,中国内部审计,,D:\openclaw-workspace\knowledge\11-杂志文献\中国内部审计\中国内部审计2025年11期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国内部审计2025年11期》作为来源索引保留，不直接重复生成算法包。
MAGISSUE-0437,,中国内部审计2025年12期,40,D,0,magazine_435_articles,中国内部审计,,D:\openclaw-workspace\knowledge\11-杂志文献\中国内部审计\中国内部审计2025年12期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国内部审计2025年12期》作为来源索引保留，不直接重复生成算法包。
MAGISSUE-0438,,中国内部审计2025年4期,40,D,0,magazine_435_articles,中国内部审计,,D:\openclaw-workspace\knowledge\11-杂志文献\中国内部审计\中国内部审计2025年4期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国内部审计2025年4期》作为来源索引保留，不直接重复生成算法包。
MAGISSUE-0439,,中国内部审计2025年5期,40,D,0,magazine_435_articles,中国内部审计,,D:\openclaw-workspace\knowledge\11-杂志文献\中国内部审计\中国内部审计2025年5期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国内部审计2025年5期》作为来源索引保留，不直接重复生成算法包。
MAGISSUE-0440,,中国内部审计2025年7期,40,D,0,magazine_435_articles,中国内部审计,,D:\openclaw-workspace\knowledge\11-杂志文献\中国内部审计\中国内部审计2025年7期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国内部审计2025年7期》作为来源索引保留，不直接重复生成算法包。
MAGISSUE-0441,,中国内部审计2025年9期,40,D,0,magazine_435_articles,中国内部审计,,D:\openclaw-workspace\knowledge\11-杂志文献\中国内部审计\中国内部审计2025年9期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国内部审计2025年9期》作为来源索引保留，不直接重复生成算法包。
MAGCASE-0001,MAGSUPV-0001,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知,84,B,1,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\002.中国注册会计师协会关于做好上市公司2025年年报审计工作的通知.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志内控包,违规；异常；风险；舞弊；虚假；重复；损失；内控；缺陷；真实性,数据；样本；报表；结算；资产；税收；资金；会计；审计报告；工作底稿,模型；规则；评价；核查；关联；抽样；识别；分析；研究；体系,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《中国注册会计师协会关于做好上市公司2025年年报审计工作的通知》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0002,MAGSUPV-0002,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知,84,B,1,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\002.中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志内控包,异常；风险；舞弊；重复；损失；缺陷；完整性；错报,数据；预算；样本；报表；资产；会计；审计报告；工作底稿,评价；关联；识别；验证；体系；方法,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0003,MAGSUPV-0003,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通知,84,B,1,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\003.中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通知.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志内控包,风险,清单；会计；审计报告,评价；体系；机制；数字化,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通知》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0004,MAGSUPV-0004,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知,76,B,1,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\004.中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志证据包,,会计,体系,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知》映射为监督检查与经费舞弊场景的杂志证据包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0005,MAGSUPV-0005,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开,68,C,1,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\012.中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志证据包,,会计,,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开》映射为监督检查与经费舞弊场景的杂志证据包，可用于案例检索、规则复用和底稿核查。
MAGISSUE-0442,,中国注册会计师2026年1期,40,D,0,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\中国注册会计师2026年1期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国注册会计师2026年1期》作为来源索引保留，不直接重复生成算法包。
MAGISSUE-0443,,中国注册会计师2026年2期,40,D,0,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\中国注册会计师2026年2期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国注册会计师2026年2期》作为来源索引保留，不直接重复生成算法包。
