id,project_code,project_name,total_invest,year_invest,progress_pct,start_date,end_date,responsible_dept,category,status,approval_no
1,XM-2025-0001,YY水库工程（一期）,341512.01,79344.75,82.3,2022-01,2028-05,人社局,卫生,前期准备,川发改审批[2024]788号
2,XM-2025-0002,DD铁路专线（一期）,4453.5,826.43,45.2,2025-12,2027-09,教育局,水利,在建,川发改审批[2025]848号
3,XM-2025-0003,CC产业园区（一期）,417718.57,76024.85,62.6,2022-03,2027-03,交通局,体育,停工,川发改审批[2024]108号
4,XM-2025-0004,CC产业园区（一期）,370826.03,36950.12,68.6,2023-06,2028-07,住建局,产业园区,在建,川发改审批[2024]522号
5,XM-2025-0005,XX高速公路（二期）,268475.28,68105.37,54.9,2022-01,2027-12,教育局,水利,已竣工,川发改审批[2025]272号
6,XM-2025-0006,DD铁路专线（二期）,375434.67,77660.35,43.4,2023-01,2027-11,住建局,铁路,在建,川发改审批[2024]729号
7,XM-2025-0007,DD铁路专线（改扩建）,54855.83,11514.15,17.5,2025-02,2026-12,农业农村局,水利,在建,川发改审批[2026]900号
8,XM-2025-0008,AA体育中心（一期）,121233.84,11960.22,25.0,2024-07,2027-03,科技局,产业园区,在建,川发改审批[2024]401号
9,XM-2025-0009,EE污水处理厂（改扩建）,173949.21,33927.35,30.5,2023-09,2028-10,农业农村局,体育,在建,川发改审批[2026]705号
10,XM-2025-0010,DD铁路专线（一期）,22334.47,2585.96,0.6,2025-12,2027-04,卫健委,卫生,停工,川发改审批[2026]458号
11,XM-2025-0011,XX高速公路（改扩建）,466450.77,87735.72,35.1,2023-09,2027-10,民政局,环保,在建,川发改审批[2024]511号
12,XM-2025-0012,YY水库工程（二期）,395408.59,27558.17,29.1,2022-12,2028-11,交通局,环保,在建,川发改审批[2026]786号
13,XM-2025-0013,ZZ医院新院区（一期）,348508.71,20655.18,37.2,2025-03,2028-07,教育局,水利,在建,川发改审批[2026]566号
14,XM-2025-0014,EE污水处理厂（二期）,175459.01,32956.92,14.8,2025-02,2028-11,教育局,产业园区,在建,川发改审批[2026]247号
15,XM-2025-0015,EE污水处理厂（改扩建）,459526.36,28882.59,23.9,2024-08,2026-11,住建局,铁路,停工,川发改审批[2025]767号
16,XM-2025-0016,ZZ医院新院区（改扩建）,465368.58,60719.67,42.1,2024-02,2026-12,人社局,卫生,在建,川发改审批[2026]244号
17,XM-2025-0017,YY水库工程（二期）,182627.41,47316.34,23.7,2022-04,2028-09,农业农村局,水利,已竣工,川发改审批[2025]367号
18,XM-2025-0018,BB棚户区改造（一期）,385478.85,58788.69,50.8,2023-11,2026-01,教育局,铁路,前期准备,川发改审批[2025]339号
19,XM-2025-0019,BB棚户区改造（二期）,388712.63,41746.51,9.8,2023-06,2027-03,民政局,体育,在建,川发改审批[2024]869号
20,XM-2025-0020,ZZ医院新院区（改扩建）,263603.72,23966.56,54.5,2024-02,2028-09,民政局,交通,在建,川发改审批[2025]287号
21,XM-2025-0021,EE污水处理厂（改扩建）,489144.82,48547.7,74.0,2023-05,2028-12,人社局,环保,已竣工,川发改审批[2024]888号
22,XM-2025-0022,XX高速公路（一期）,190125.79,9779.05,65.0,2022-05,2026-05,住建局,铁路,在建,川发改审批[2024]961号
23,XM-2025-0023,ZZ医院新院区（二期）,279856.13,50466.51,22.1,2025-11,2027-09,科技局,产业园区,在建,川发改审批[2024]133号
24,XM-2025-0024,AA体育中心（一期）,219534.08,41185.49,39.7,2023-12,2026-07,交通局,交通,在建,川发改审批[2026]785号
25,XM-2025-0025,YY水库工程（改扩建）,487369.36,55516.14,58.7,2023-11,2026-12,科技局,交通,前期准备,川发改审批[2026]513号
26,XM-2025-0026,ZZ医院新院区（一期）,342157.91,96096.98,33.7,2022-01,2027-06,人社局,保障房,在建,川发改审批[2024]597号
27,XM-2025-0027,ZZ医院新院区（改扩建）,193169.42,21645.91,83.0,2024-11,2028-05,交通局,水利,在建,川发改审批[2026]227号
28,XM-2025-0028,DD铁路专线（改扩建）,122653.1,10316.54,34.3,2024-08,2027-09,农业农村局,水利,已竣工,川发改审批[2026]296号
29,XM-2025-0029,AA体育中心（改扩建）,456675.95,73102.9,67.6,2022-05,2028-06,教育局,保障房,前期准备,川发改审批[2025]966号
30,XM-2025-0030,CC产业园区（改扩建）,100532.58,23974.52,23.9,2022-05,2028-04,民政局,产业园区,在建,川发改审批[2025]596号
