rule_id,package_sn,scene,topic,rule_name,rule_description,input_fields,condition,output,source_file,priority
MAGSUPV-0001-R01,MAGSUPV-0001,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\002.中国注册会计师协会关于做好上市公司2025年年报审计工作的通知.md,P1
MAGSUPV-0001-R02,MAGSUPV-0001,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知,中国注册会计师协会关于做好上市公司2025年年报审计工作的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\002.中国注册会计师协会关于做好上市公司2025年年报审计工作的通知.md,P1
MAGSUPV-0002-R01,MAGSUPV-0002,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\002.中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知.md,P0
MAGSUPV-0002-R02,MAGSUPV-0002,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知,中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\002.中国注册会计师协会关于印发《企业内部控制审计指引实施意见》的通知.md,P0
MAGSUPV-0003-R01,MAGSUPV-0003,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\003.中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通知.md,P1
MAGSUPV-0003-R02,MAGSUPV-0003,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通,中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\003.中国注册会计师协会关于印发《会计师事务所透明度报告披露指引(试行)》的通知.md,P1
MAGSUPV-0004-R01,MAGSUPV-0004,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\004.中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知.md,P1
MAGSUPV-0004-R02,MAGSUPV-0004,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知,中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\004.中国注册会计师协会关于印发《会计师事务所基础性标准体系建设指引》的通知.md,P1
MAGSUPV-0005-R01,MAGSUPV-0005,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\012.中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开.md,P1
MAGSUPV-0005-R02,MAGSUPV-0005,监督检查与经费舞弊 / 全场景通用 / 金融审计,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开,中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\012.中国注册会计师行业妇联成立暨行业妇女第一次代表大会在京召开.md,P1
