asset_id,asset_type,source_type,package_sn,quality_score,quality_tier,scene,topic,name,description,input_fields,condition,output,priority,library_source,source_file
MAGDATA-0005-R01,audit_rule,generated_rule,MAGDATA-0005,53,D,全场景通用,017巾帼聚力担使命行业妇联绽芳华,017巾帼聚力担使命行业妇联绽芳华R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\017巾帼聚力担使命行业妇联绽芳华.md
MAGDATA-0005-R02,audit_rule,generated_rule,MAGDATA-0005,53,D,全场景通用,017巾帼聚力担使命行业妇联绽芳华,017巾帼聚力担使命行业妇联绽芳华R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\017巾帼聚力担使命行业妇联绽芳华.md
MAGDATA-0006-R01,audit_rule,generated_rule,MAGDATA-0006,53,D,全场景通用,凝心聚力启新程砥砺奋进谱新篇,凝心聚力启新程砥砺奋进谱新篇R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\024.凝心聚力启新程砥砺奋进谱新篇.md
MAGDATA-0006-R02,audit_rule,generated_rule,MAGDATA-0006,53,D,全场景通用,凝心聚力启新程砥砺奋进谱新篇,凝心聚力启新程砥砺奋进谱新篇R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\024.凝心聚力启新程砥砺奋进谱新篇.md
MAGDATA-0001-R01,audit_rule,generated_rule,MAGDATA-0001,53,D,全场景通用,权益法下未确认投资净损失会计处理探讨,权益法下未确认投资净损失会计处理探讨R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.权益法下未确认投资净损失会计处理探讨.md
MAGDATA-0001-R02,audit_rule,generated_rule,MAGDATA-0001,53,D,全场景通用,权益法下未确认投资净损失会计处理探讨,权益法下未确认投资净损失会计处理探讨R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.权益法下未确认投资净损失会计处理探讨.md
MAGDATA-0004-R01,audit_rule,generated_rule,MAGDATA-0004,53,D,全场景通用,盛世阅兵展风采抗战精神永流传,盛世阅兵展风采抗战精神永流传R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\016.盛世阅兵展风采抗战精神永流传.md
MAGDATA-0004-R02,audit_rule,generated_rule,MAGDATA-0004,53,D,全场景通用,盛世阅兵展风采抗战精神永流传,盛世阅兵展风采抗战精神永流传R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\016.盛世阅兵展风采抗战精神永流传.md
MAGDATA-0003-R01,audit_rule,generated_rule,MAGDATA-0003,53,D,全场景通用,省注协召开二届三次监事会会议,省注协召开二届三次监事会会议R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\015.省注协召开二届三次监事会会议.md
MAGDATA-0003-R02,audit_rule,generated_rule,MAGDATA-0003,53,D,全场景通用,省注协召开二届三次监事会会议,省注协召开二届三次监事会会议R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\015.省注协召开二届三次监事会会议.md
MAGDATA-0002-R01,audit_rule,generated_rule,MAGDATA-0002,53,D,全场景通用,省注协第六届理事会信息化委员会第一次会议在成都召开,省注协第六届理事会信息化委员会第一次会议在成都召开R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；数据相关数据；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\009.省注协第六届理事会信息化委员会 第一次会议在成都召开.md
MAGDATA-0002-R02,audit_rule,generated_rule,MAGDATA-0002,53,D,全场景通用,省注协第六届理事会信息化委员会第一次会议在成都召开,省注协第六届理事会信息化委员会第一次会议在成都召开R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；数据相关数据；会计相关数据,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,P1,magazine_435_articles,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\009.省注协第六届理事会信息化委员会 第一次会议在成都召开.md
SOEV6D-001-R01,audit_rule,generated_rule,SOEV6D-001,69,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,2.6责任观：遇到问题找方法，而不是刻意只去查后果／22,2.6责任观：遇到问题找方法，而不是刻意只去查后果／22完整性规则,检查2.6责任观：遇到问题找方法，而不是刻意只去查后果／22相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P0,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
SOEV6D-001-R02,audit_rule,generated_rule,SOEV6D-001,69,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,2.6责任观：遇到问题找方法，而不是刻意只去查后果／22,2.6责任观：遇到问题找方法，而不是刻意只去查后果／22一致性规则,检查2.6责任观：遇到问题找方法，而不是刻意只去查后果／22在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P0,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
SOEV6D-001-R03,audit_rule,generated_rule,SOEV6D-001,69,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,2.6责任观：遇到问题找方法，而不是刻意只去查后果／22,2.6责任观：遇到问题找方法，而不是刻意只去查后果／22异常性规则,按历史均值、同类项目分位数或政策标准识别2.6责任观：遇到问题找方法，而不是刻意只去查后果／22异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P0,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
PERFV6D-048-R01,audit_rule,generated_rule,PERFV6D-048,69,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,4审计人员分析问题的思维能力训练案例,4审计人员分析问题的思维能力训练案例完整性规则,检查4审计人员分析问题的思维能力训练案例相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P0,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计思维与沟通.pdf.md
PERFV6D-048-R02,audit_rule,generated_rule,PERFV6D-048,69,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,4审计人员分析问题的思维能力训练案例,4审计人员分析问题的思维能力训练案例一致性规则,检查4审计人员分析问题的思维能力训练案例在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P0,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计思维与沟通.pdf.md
PERFV6D-048-R03,audit_rule,generated_rule,PERFV6D-048,69,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,4审计人员分析问题的思维能力训练案例,4审计人员分析问题的思维能力训练案例异常性规则,按历史均值、同类项目分位数或政策标准识别4审计人员分析问题的思维能力训练案例异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P0,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计思维与沟通.pdf.md
SOEV6D-003-R01,audit_rule,generated_rule,SOEV6D-003,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对,“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对完整性规则,检查“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
SOEV6D-003-R02,audit_rule,generated_rule,SOEV6D-003,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对,“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对一致性规则,检查“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
SOEV6D-003-R03,audit_rule,generated_rule,SOEV6D-003,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对,“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对异常性规则,按历史均值、同类项目分位数或政策标准识别“快乐审计团队的实操案例”介绍了我们快乐审计团队共同面对异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
SOEV6D-012-R01,audit_rule,generated_rule,SOEV6D-012,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,与现代审计理论相关的案例,与现代审计理论相关的案例完整性规则,检查与现代审计理论相关的案例相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
SOEV6D-012-R02,audit_rule,generated_rule,SOEV6D-012,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,与现代审计理论相关的案例,与现代审计理论相关的案例一致性规则,检查与现代审计理论相关的案例在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
SOEV6D-012-R03,audit_rule,generated_rule,SOEV6D-012,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,与现代审计理论相关的案例,与现代审计理论相关的案例异常性规则,按历史均值、同类项目分位数或政策标准识别与现代审计理论相关的案例异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
PERFV6D-085-R01,audit_rule,generated_rule,PERFV6D-085,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,哲学对审计方法的指导意义,哲学对审计方法的指导意义完整性规则,检查哲学对审计方法的指导意义相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md
PERFV6D-085-R02,audit_rule,generated_rule,PERFV6D-085,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,哲学对审计方法的指导意义,哲学对审计方法的指导意义一致性规则,检查哲学对审计方法的指导意义在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md
PERFV6D-085-R03,audit_rule,generated_rule,PERFV6D-085,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,哲学对审计方法的指导意义,哲学对审计方法的指导意义异常性规则,按历史均值、同类项目分位数或政策标准识别哲学对审计方法的指导意义异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md
