id,project_name,proc_method,budget_amount,bid_amount,contract_amount,winner,bidder_count,bid_date,sign_date,dept_name,category
1,医疗设备采购,竞争性谈判,372.06,360.99,353.06,E建筑安装公司,8,2025-09-18,2025-02-22,卫健委,服务
2,道路改造项目,竞争性磋商,418.21,361.01,352.46,D市政工程公司,4,2025-02-25,2025-12-16,农业农村局,工程
3,医疗设备采购,单一来源,241.47,233.78,226.36,A建设集团,8,2025-08-28,2025-09-15,住建局,货物
4,办公家具采购,单一来源,301.75,295.37,282.41,B工程技术公司,4,2025-05-10,2025-07-16,住建局,工程
5,校舍维修工程,单一来源,295.78,257.68,248.97,C项目管理公司,4,2025-09-08,2025-08-13,卫健委,货物
6,办公家具采购,单一来源,252.48,216.67,207.11,E建筑安装公司,8,2025-02-20,2025-06-22,民政局,服务
7,公务用车采购,竞争性磋商,83.39,73.83,73.43,D市政工程公司,6,2025-02-15,2025-01-25,交通局,服务
8,医疗设备采购,询价,361.26,345.95,337.21,D市政工程公司,4,2025-03-21,2025-01-05,科技局,货物
9,污水处理工程,公开招标,105.16,95.11,91.5,C项目管理公司,8,2025-02-14,2025-12-06,教育局,工程
10,污水处理工程,邀请招标,444.66,418.3,406.28,C项目管理公司,7,2025-11-23,2025-08-20,住建局,服务
11,物业服务招标,公开招标,74.14,68.83,67.77,D市政工程公司,2,2025-03-05,2025-02-01,民政局,服务
12,公务用车采购,邀请招标,331.36,283.15,270.13,D市政工程公司,3,2025-07-02,2025-12-03,教育局,工程
13,办公家具采购,竞争性谈判,189.14,179.65,171.48,E建筑安装公司,4,2025-05-11,2025-12-13,交通局,工程
14,办公家具采购,邀请招标,403.44,350.23,335.86,B工程技术公司,7,2025-07-08,2025-03-28,民政局,工程
15,医疗设备采购,竞争性磋商,302.07,284.69,279.33,A建设集团,3,2025-10-14,2025-06-18,科技局,货物
16,办公家具采购,公开招标,369.11,351.84,345.22,D市政工程公司,3,2025-12-14,2025-01-04,农业农村局,货物
17,校舍维修工程,公开招标,228.12,202.83,198.6,A建设集团,2,2025-11-22,2025-10-06,农业农村局,工程
