case_id,title,source_top,source_file,scene,case_type,risk_terms,data_terms,method_terms,evidence_chain,usable_for,suggested_algorithm_upgrade,summary
CASEV6D-001,“一老一小”政策落实情况审计关注重点,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\“一老一小”政策落实情况审计关注重点.md,民生与社保医保 / 绩效评价 / 金融审计,期刊文章案例/经验,绩效；挪用,数据；清单；明细；预算,审查；评价；分析；核查；监测,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,“一老一小”政策落实情况审计关注重点案例规则化升级包,从《“一老一小”政策落实情况审计关注重点》抽取审计场景、风险词、数据词和方法词，用于验证或升级民生与社保医保相关算法。
CASEV6D-002,“两新”审计,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\“两新”审计.md,财政与政府债务 / 预算执行与财政管理 / 绩效评价,期刊文章案例/经验,挪用,数据；审批；采购；凭证；指标,模型；指标；比对；测算；分析,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,“两新”审计案例规则化升级包,从《“两新”审计》抽取审计场景、风险词、数据词和方法词，用于验证或升级工程与投资审计相关算法。
CASEV6D-003,“两重”“两新”政策落实审计的思考,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\“两重”“两新”政策落实审计的思考.md,财政与政府债务 / 预算执行与财政管理 / 绩效评价,期刊文章案例/经验,违规；重复；截留；挪用；真实性,招标；支付；采购；合同；预算,分析；指标；穿透；识别,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,“两重”“两新”政策落实审计的思考案例规则化升级包,从《“两重”“两新”政策落实审计的思考》抽取审计场景、风险词、数据词和方法词，用于验证或升级招投标与政府采购相关算法。
CASEV6D-004,“收不回”的逾期贷款,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\“收不回”的逾期贷款.md,金融审计 / 国企审计 / 监督检查与经费舞弊,期刊文章案例/经验,违规；风险；重复；损失；预警,审批；资产；台账；数据；清单,关联；核查；审查；分析；预警,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,“收不回”的逾期贷款案例规则化升级包,从《“收不回”的逾期贷款》抽取审计场景、风险词、数据词和方法词，用于验证或升级金融审计相关算法。
CASEV6D-005,以实干担使命 以匠心守初心——记山东省威海市文登区审计局赛婷羽,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\以实干担使命 以匠心守初心——记山东省威海市文登区审计局赛婷羽.md,农业农村审计 / 民生与社保医保 / 工程与投资审计,期刊文章案例/经验,绩效；风险；闲置；违规；真实性,数据；资产；合同；台账；审批,核查；分析；审查；模型；穿透,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,以实干担使命 以匠心守初心——记山东省威海市文登区审计局赛婷羽案例规则化升级包,从《以实干担使命 以匠心守初心——记山东省威海市文登区审计局赛婷羽》抽取审计场景、风险词、数据词和方法词，用于验证或升级农业农村审计相关算法。
CASEV6D-006,以有力有效的审计监督助力上海在长三角一体化发展中更好发挥龙头带动作用,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\以有力有效的审计监督助力上海在长三角一体化发展中更好发挥龙头带动作用.md,监督检查与经费舞弊 / 资源环境审计 / 国企审计,期刊文章案例/经验,风险,数据,模型,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,以有力有效的审计监督助力上海在长三角一体化发展中更好发挥龙头带动作用案例规则化升级包,从《以有力有效的审计监督助力上海在长三角一体化发展中更好发挥龙头带动作用》抽取审计场景、风险词、数据词和方法词，用于验证或升级监督检查与经费舞弊相关算法。
CASEV6D-007,以正确政绩观书写审计“为民答卷”,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\以正确政绩观书写审计“为民答卷”.md,民生与社保医保 / 监督检查与经费舞弊,期刊文章案例/经验,风险,,分析,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,以正确政绩观书写审计“为民答卷”案例规则化升级包,从《以正确政绩观书写审计“为民答卷”》抽取审计场景、风险词、数据词和方法词，用于验证或升级民生与社保医保相关算法。
CASEV6D-008,侯凯为审计署党员干部讲授树立和践行正确政绩观学习教育专题党课,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\侯凯为审计署党员干部讲授树立和践行正确政绩观学习教育专题党课.md,监督检查与经费舞弊 / 预算执行与财政管理 / 民生与社保医保,期刊文章案例/经验,违规；风险；虚假,预算；支付；采购,模型；核查；穿透,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,侯凯为审计署党员干部讲授树立和践行正确政绩观学习教育专题党课案例规则化升级包,从《侯凯为审计署党员干部讲授树立和践行正确政绩观学习教育专题党课》抽取审计场景、风险词、数据词和方法词，用于验证或升级监督检查与经费舞弊相关算法。
CASEV6D-009,去向不明的会计档案,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\去向不明的会计档案.md,监督检查与经费舞弊 / 经济责任审计 / 预算执行与财政管理,期刊文章案例/经验,重复；套取；异常；挪用；违规,支付；明细；清单；数据；流水,核查；分析；比对；关联；审查,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,去向不明的会计档案案例规则化升级包,从《去向不明的会计档案》抽取审计场景、风险词、数据词和方法词，用于验证或升级监督检查与经费舞弊相关算法。
CASEV6D-010,国务院关于2025年度中央预算执行和其他财政收支的审计工作报告,1中国审计_7期,E:\2026\审计方法&政策文件\_ocr_output\1中国审计_7期\国务院关于2025年度中央预算执行和其他财政收支的审计工作报告.md,财政与政府债务 / 预算执行与财政管理 / 绩效评价,期刊文章案例/经验,违规；风险；挪用；套取；闲置,资产；预算；支付；数据；采购,评价；审查；算法；指标；穿透,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,国务院关于2025年度中央预算执行和其他财政收支的审计工作报告案例规则化升级包,从《国务院关于2025年度中央预算执行和其他财政收支的审计工作报告》抽取审计场景、风险词、数据词和方法词，用于验证或升级金融审计相关算法。
